ds,yhat
2014-01-31,46958.50432430412
2014-02-28,48196.414140520916
2014-03-31,47170.744206061056
2014-04-30,45629.27029565141
2014-05-31,44835.047137203685
2014-06-30,45967.827070375846
2014-07-31,46010.28877214132
2014-08-31,46254.98931025733
2014-09-30,46063.76953640703
2014-10-31,46244.18836975727
2014-11-30,46746.00901341028
2014-12-31,47832.34291730616
2015-01-31,46969.53128983418
2015-02-28,47906.24374343444
2015-03-31,46923.867612328206
2015-04-30,45605.163125940206
2015-05-31,44670.09959805634
2015-06-30,45876.60229507735
2015-07-31,45845.20106380672
2015-08-31,46116.031999778905
2015-09-30,45927.28120259192
2015-10-31,46006.98968558739
2015-11-30,46567.171255734975
2015-12-31,47770.368414296754
2016-01-31,46978.191511787874
2016-02-29,48188.68977657242
2016-03-31,47094.99834075241
2016-04-30,45106.704177256084
2016-05-31,44588.44808723393
2016-06-30,45571.25974351303
2016-07-31,45760.091383037114
2016-08-31,45953.93771171639
2016-09-30,45755.42471094596
2016-10-31,46141.137344357005
2016-11-30,46535.83134095733
2016-12-31,47385.597678251106
2017-01-31,46367.89408566371
2017-02-28,47905.682716292606
2017-03-31,46842.903212184836
2017-04-30,45078.15114768035
2017-05-31,44422.8841854946
2017-06-30,45481.086698562445
2017-07-31,45596.98209230119
2017-08-31,45816.01969037256
2017-09-30,45621.55402566113
2017-10-31,45904.00603785654
2017-11-30,46350.63521970959
2017-12-31,47319.10510414928
2018-01-31,46381.09874313713
2018-02-28,47619.008556451285
2018-03-31,46593.33861877735
2018-04-30,45051.86470525451
2018-05-31,44257.64154359386
2018-06-30,45390.421473653834
2018-07-31,45432.8831722059
2018-08-31,45677.58370710762
2018-09-30,45486.363930146035
2018-10-31,45666.7827602814
2018-11-30,46168.603400823
2018-12-31,47254.937301504964
2019-01-31,46392.12567081907
2019-02-28,47328.838121514615
2019-03-31,46346.46198719568
2019-04-30,45027.757500805936
2019-05-31,44092.69397292211
2019-06-30,45299.19666994276
2019-07-31,45267.79543867313
2019-08-31,45538.62637464452
2019-09-30,45349.87557745722
2019-10-31,45429.58406045349
2019-11-30,45989.76563060122
2019-12-31,47192.962789162724
2020-01-31,46400.785886654594
2020-02-29,47611.28415143931
2020-03-31,46517.59271561933
2020-04-30,44529.2985521219
2020-05-31,44011.04246210016
2020-06-30,44993.8541183775
2020-07-31,45182.68575790313
2020-08-31,45376.53208658218
2020-09-30,45178.01908581171
2020-10-31,45563.73171922299
2020-11-30,45958.42571582385
2020-12-31,46808.19205311777
2021-01-31,45790.48846053028
2021-02-28,47328.27709115807
2021-03-31,46265.49758705091
2021-04-30,44500.74552254678
2021-05-31,43845.47856036151
2021-06-30,44903.681073428575
2021-07-31,45019.576467167564
2021-08-31,45238.61406523899
2021-09-30,45044.14840052744
